0,5,10,15,20,25,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,179
0.1,0.1,0.1,0.2,0.6,3.0,11.7,43.3,66.1,80.3,88.1,93.0,95.6,97.6,98.2,99.1,99.2,99.8,99.8,99.9,99.9,100.0
0.1,0.1,1.0,4.4,16.7,35.2,48.8,69.6,82.1,88.6,92.6,95.9,97.8,99.0,99.4,99.8,99.8,99.9,99.9,100.0,100.0,100.0
0.1,0.4,1.6,8.6,25.8,44.1,56.3,75.3,84.5,91.0,95.0,96.9,98.3,99.1,99.2,99.4,99.6,99.7,99.8,99.9,99.9,99.9
0.1,0.1,0.7,3.2,11.7,29.7,45.3,65.3,79.5,87.8,91.9,95.0,96.9,98.4,99.1,99.6,99.9,100.0,100.0,100.0,100.0,100.0
0.1,0.3,1.4,8.1,24.3,41.6,55.0,72.1,82.1,89.8,93.6,96.3,98.0,98.7,99.4,99.7,99.8,99.8,99.9,99.9,99.9,99.9
0.1,0.4,2.4,11.1,26.3,43.3,56.7,74.6,83.9,90.9,94.8,96.4,97.8,98.9,99.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.1,0.2,1.3,6.8,17.8,35.4,50.2,70.5,81.3,89.3,94.2,96.5,98.5,99.2,99.6,99.8,99.9,99.9,99.9,99.9,99.9,100.0
0.1,0.4,1.3,6.7,19.2,37.1,52.3,69.8,82.0,89.8,94.0,95.9,97.6,98.2,99.1,99.4,99.7,99.7,99.8,99.8,99.9,99.9
0.1,0.5,2.8,10.8,29.4,45.5,56.1,74.7,85.5,89.4,94.2,96.7,98.0,98.8,99.3,99.6,99.8,99.8,99.8,99.9,100.0,100.0
0.1,0.4,1.5,7.8,20.1,38.0,52.3,69.3,81.7,89.4,93.9,96.9,98.2,98.6,99.4,99.5,99.5,99.9,99.9,99.9,99.9,99.9
0.1,0.2,0.4,1.5,9.0,25.8,41.9,66.6,79.5,87.8,92.6,95.8,97.0,98.3,99.2,99.5,99.8,99.8,99.9,99.9,100.0,100.0
0.1,0.5,1.7,8.0,24.3,42.5,54.8,74.8,85.5,92.2,95.5,96.3,97.5,98.6,99.3,99.7,99.7,100.0,100.0,100.0,100.0,100.0
0.1,0.3,2.7,11.9,29.5,45.4,55.6,73.3,83.7,89.7,94.2,96.2,97.3,98.5,99.2,99.6,99.6,99.7,99.9,100.0,100.0,100.0
0.1,0.1,0.7,3.7,12.5,29.1,45.4,66.9,79.6,88.7,92.1,95.2,97.3,98.5,99.0,99.4,99.8,99.8,99.9,100.0,100.0,100.0
0.1,0.2,0.4,1.9,7.8,24.2,44.0,66.9,80.3,88.4,93.9,96.7,97.9,98.5,99.3,99.7,99.8,99.9,100.0,100.0,100.0,100.0
0.1,0.3,2.3,10.3,25.2,42.0,55.5,71.6,81.9,89.4,93.4,95.8,96.9,98.0,98.3,98.7,99.1,99.6,99.8,99.9,99.9,99.9
0.1,0.2,0.8,3.7,15.2,30.8,45.9,69.1,80.4,87.4,93.0,96.2,97.7,98.7,99.1,99.6,99.7,99.8,99.8,99.8,100.0,100.0
0.1,0.5,2.2,9.0,24.9,41.4,55.6,75.2,86.6,90.9,94.4,96.4,97.5,98.4,98.9,99.6,99.6,99.9,99.9,99.9,99.9,100.0
0.1,0.2,1.7,6.3,20.5,39.6,52.2,71.2,82.7,89.4,94.1,96.9,98.2,99.0,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.1,0.2,1.1,6.5,20.9,38.7,50.0,69.8,81.8,89.5,93.3,96.3,97.7,98.4,98.9,99.4,99.5,99.8,99.9,99.9,99.9,99.9
0.1,0.4,2.2,10.6,25.8,43.8,56.7,76.1,84.8,90.5,94.1,96.9,98.2,98.9,99.2,99.7,99.8,99.8,99.8,99.9,99.9,100.0
0.1,0.1,1.2,5.6,18.1,36.9,52.0,71.9,83.2,90.6,95.2,96.7,98.3,99.1,99.5,99.6,99.7,100.0,100.0,100.0,100.0,100.0
0.1,0.2,1.1,4.7,13.5,31.7,48.0,67.9,81.3,87.9,92.0,95.4,97.0,98.3,98.7,99.6,99.8,99.8,99.9,99.9,100.0,100.0
0.1,0.2,1.4,7.2,23.8,41.9,54.3,72.8,82.9,90.2,93.8,96.0,97.2,98.5,99.3,99.6,99.8,99.9,99.9,99.9,99.9,99.9
0.1,0.2,0.8,3.6,14.1,33.1,48.4,71.3,84.9,91.2,94.9,96.8,98.1,99.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.1,0.5,2.1,10.1,24.7,41.2,55.1,72.5,83.9,89.6,94.4,96.6,97.9,98.7,99.4,99.5,99.6,99.8,99.9,100.0,100.0,100.0
0.1,0.4,2.3,9.3,25.0,42.8,54.5,72.9,85.0,92.0,95.2,97.1,98.0,98.9,99.4,99.8,99.9,99.9,99.9,99.9,100.0,100.0
0.1,0.3,1.7,8.3,24.7,40.8,54.0,71.2,82.4,88.7,92.6,95.4,96.9,98.6,99.1,99.4,99.5,99.7,99.8,99.9,99.9,100.0
0.1,0.3,1.3,6.2,19.8,37.0,49.4,69.2,83.2,90.3,94.3,97.1,98.3,99.1,99.4,99.4,99.5,99.9,99.9,99.9,99.9,99.9
0.1,0.2,1.8,8.4,26.0,42.5,56.6,76.0,85.6,91.4,94.3,97.2,98.2,99.0,99.4,99.7,99.7,99.7,99.8,100.0,100.0,100.0
