100,0 100,0 99,66772465780595
100,0 100,0 99,77682999404882
100,0 100,0 99,69252132513391
100,0 100,0 99,73219599285856
100,0 100,0 99,65780599087479
97,1830985915493 97,1830985915493 96,88057925014874
99,29577464788733 99,29577464788733 98,94366197183096
100,0 100,0 99,61813132315017
99,29577464788733 99,29577464788733 98,91886530450303
99,29577464788733 99,29577464788733 99,02797064074589
99,29577464788733 99,29577464788733 98,95358063876212
100,0 100,0 99,73715532632413
98,59154929577464 98,59154929577464 98,27911128744297
100,0 100,0 99,6578059908748
99,29577464788733 99,29577464788733 98,9238246379686
100,0 100,0 99,67764332473713
99,29577464788733 99,29577464788733 98,85439396945048
100,0 100,0 99,68260265820273
100,0 100,0 99,71731799246179
99,29577464788733 99,29577464788733 98,98333663955563
100,0 100,0 99,63796865701246
99,29577464788733 99,29577464788733 99,05276730807378
100,0 100,0 99,71731799246179
100,0 100,0 99,69252132513388
99,29577464788733 99,29577464788733 98,96845863915887
100,0 100,0 99,65284665740921
100,0 100,0 99,62804999008135
100,0 100,0 99,69252132513385
100,0 100,0 99,67764332473715
99,29577464788733 99,29577464788733 99,01309264034913
